run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 61,1900; 25,4100; 41,8900
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 58,2300; 25,1700; 38,7200
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 95,2600; 72,1600; 84,4300
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 88,6200; 48,0900; 64,7800
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 87,4700; 51,5900; 63,0600
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 92,4600; 63,6200; 77,0100
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 54,9800; 22,1100; 34,6600
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 55,0800; 21,7900; 34,4200
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 91,7800; 58,5100; 71,2200
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 85,0000; 39,1600; 49,0700
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 81,9000; 42,6400; 52,8200
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 87,0300; 47,3400; 60,4100
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 55,7600; 24,4600; 37,0800
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 53,4100; 24,1500; 37,1300
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 94,0400; 68,1100; 81,2100
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 87,7900; 42,6200; 54,2700
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 86,8800; 48,9800; 59,2700
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 90,1600; 54,3400; 67,5400
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 53,3100; 24,1200; 37,2400
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 50,6000; 22,5700; 36,4800
