run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 79,4000; 32,9600; 42,7900
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 85,8100; 44,2500; 53,3100
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 56,6900; 20,5200; 31,2500
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 51,6600; 20,0000; 31,8200
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 94,1000; 64,8500; 74,4600
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 81,1300; 35,4200; 46,2200
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 73,9100; 32,7100; 44,4700
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 80,8800; 45,7000; 55,2800
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 58,2100; 20,9000; 35,3400
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 54,2100; 19,9700; 35,1400
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,0400; 63,6200; 74,0700
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 82,7300; 36,2600; 49,5400
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 73,9900; 30,2700; 43,7500
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 83,8900; 47,9800; 60,9300
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 50,1200; 17,6200; 24,8100
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 47,2500; 16,3400; 25,4800
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 92,3900; 60,1000; 70,3200
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 84,6300; 37,3300; 46,6100
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 78,6500; 35,4200; 45,0300
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 84,1700; 44,3700; 54,5100
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 59,6900; 22,0000; 37,1600
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 56,9300; 21,2700; 37,6800
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,6100; 66,4900; 76,9300
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 83,0300; 35,5800; 48,9500
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 78,9100; 35,1900; 48,2800
