run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,8467; 0,2065; 67,7133; 0,7939; 77,9033; 1,0504
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 54,3500; 1,2818; 19,3967; 1,2742; 33,4333; 1,8880
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 87,8100; 3,8548; 49,4933; 4,1955; 59,9500; 4,8299
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 58,7467; 0,4932; 20,1500; 1,2419; 33,0600; 3,3912
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 84,0600; 3,7967; 38,6400; 3,1312; 51,8733; 5,1317
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 77,0167; 5,0236; 34,9867; 2,6537; 47,2367; 3,4977
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 94,7533; 0,2669; 64,8767; 0,9828; 75,0233; 1,0946
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 56,0767; 1,0135; 19,5800; 1,6014; 33,1067; 3,9376
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 85,8400; 3,0578; 48,8200; 0,7330; 60,5733; 0,6788
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 56,5833; 0,7312; 19,2167; 1,0088; 32,1100; 1,3356
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 82,0400; 3,9334; 36,8967; 0,8635; 48,6300; 2,1983
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 73,4800; 3,8325; 31,4033; 1,6207; 43,5000; 1,2823
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,5300; 0,1752; 65,9033; 0,7912; 76,4333; 0,6799
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 52,8600; 0,5289; 17,6767; 0,5326; 31,6867; 0,6352
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 87,1933; 2,4336; 49,7200; 1,3203; 59,1333; 1,6429
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 57,9233; 0,7878; 21,6067; 0,4801; 33,7267; 0,4365
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 84,3033; 2,3685; 37,0500; 1,1989; 47,2767; 2,0857
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 79,5900; 0,7858; 34,2167; 0,6352; 45,4233; 0,3262
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 94,2000; 0,1411; 64,9833; 0,3213; 75,3700; 0,8128
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 54,2400; 0,8942; 19,9467; 0,5727; 33,9667; 0,4200
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 85,0733; 3,8868; 45,1600; 2,4962; 55,3567; 1,1332
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 55,7833; 1,7607; 20,8067; 0,3153; 32,2100; 0,6090
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 83,8233; 2,7375; 36,1233; 0,9143; 46,0900; 0,5367
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 75,3567; 3,4762; 31,9167; 2,3411; 42,7167; 2,2315
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 93,1667; 0,4219; 60,8900; 0,7954; 71,1567; 1,1666
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 51,5533; 1,8767; 19,4600; 0,7674; 33,1767; 0,5901
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 85,0400; 1,5861; 49,0767; 1,7330; 61,0367; 1,9687
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 53,0533; 4,7644; 18,1533; 1,9211; 31,3433; 2,3940
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 84,4700; 1,4534; 38,7067; 1,3502; 51,8133; 1,7251
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 77,4600; 1,5864; 33,0733; 1,2611; 45,4133; 0,8153
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,9500; 0,1670; 66,4233; 2,9368; 76,2300; 2,9650
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 48,7900; 5,7403; 17,4600; 2,4259; 32,2000; 3,2105
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 87,5433; 2,1590; 47,9700; 1,9748; 58,7967; 1,0557
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 54,7200; 3,4022; 18,9600; 0,7169; 31,2900; 1,1076
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 86,9933; 1,3497; 39,6300; 1,6237; 52,8100; 2,6030
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 80,1433; 2,6324; 34,1467; 2,9439; 46,0300; 3,0108
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,6933; 0,2401; 63,3967; 3,4392; 73,9200; 3,5451
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 51,3767; 3,9120; 18,2033; 0,6872; 31,8833; 1,3600
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 84,1933; 5,5218; 47,7667; 4,7956; 58,9867; 4,0429
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 57,5133; 0,6429; 19,7233; 1,1531; 33,2100; 0,6690
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 84,8300; 3,7531; 38,4633; 3,7720; 50,2800; 3,4350
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 78,1167; 6,0454; 33,1833; 4,0474; 44,3500; 3,6598
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 94,6800; 0,1709; 64,8967; 2,5443; 74,7867; 3,4130
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 54,2033; 1,1607; 18,6867; 0,5229; 33,3967; 1,2858
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 82,9133; 3,5802; 43,2533; 0,8121; 54,2033; 1,6258
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 54,5367; 3,4295; 19,6400; 1,5189; 31,1767; 1,1741
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 83,6400; 1,8802; 36,1233; 0,5143; 45,9467; 1,6857
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 76,3033; 5,1728; 29,6800; 2,7143; 39,8033; 3,1402
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,0600; 0,4875; 63,0900; 1,8193; 73,2867; 1,7898
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 51,4733; 3,8818; 18,8300; 1,7196; 32,6533; 2,3658
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 85,3367; 1,1521; 41,4367; 2,2805; 50,9467; 0,9712
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 54,5633; 1,1833; 19,3033; 0,7657; 30,7200; 0,8984
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 85,1067; 1,5819; 35,3300; 1,3772; 43,7400; 0,9297
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 77,9933; 1,5558; 30,3200; 1,4552; 39,5633; 1,2070
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 93,4933; 0,2875; 59,8367; 3,2166; 70,1733; 3,3242
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 51,1400; 1,4271; 18,5300; 0,7448; 31,8033; 1,7867
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 71,8900; 12,7566; 29,5300; 6,0747; 37,4400; 4,5050
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 49,2900; 0,9980; 15,8167; 0,8403; 25,4567; 1,2416
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 77,0767; 6,8686; 27,8000; 2,8487; 34,9833; 2,2929
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 65,8800; 11,3047; 22,4900; 4,0000; 29,7433; 3,2424
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 90,9900; 0,6762; 53,4233; 2,3498; 63,0500; 3,2715
train_deeplabv3plus_sc_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 45,6533; 1,3193; 15,0600; 1,2800; 26,0067; 1,8847
