run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,005; acdc_night; 55,4567; 1,2678; 19,2400; 0,7709; 31,5767; 1,1338
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,005; acdc_rain; 82,8800; 5,0727; 38,9700; 1,9219; 53,6433; 2,6142
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,005; acdc_snow; 74,3000; 8,4005; 32,2233; 3,1981; 46,3200; 2,4957
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,005; cityscapes; 94,9867; 0,3197; 68,1467; 2,5369; 78,2633; 1,9706
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,005; dark_zurich; 52,1733; 2,5815; 18,6600; 0,5803; 32,3667; 0,7457
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,0075; acdc_fog; 84,9733; 3,3034; 51,1000; 2,3491; 64,4300; 2,9077
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,0075; acdc_full; 75,7733; 2,6750; 35,0967; 2,1704; 47,3200; 2,5565
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,0075; acdc_night; 55,8900; 1,5418; 19,1900; 1,1032; 32,4633; 1,4590
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,0075; acdc_rain; 85,0300; 3,4457; 39,9200; 2,4773; 53,5133; 2,3412
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,0075; acdc_snow; 77,8267; 3,0966; 33,5667; 2,4212; 46,4267; 3,8939
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,0075; cityscapes; 94,9967; 0,1804; 67,9267; 1,6500; 78,3267; 1,6016
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,0075; dark_zurich; 52,7967; 1,7551; 18,2367; 1,1499; 32,6000; 2,8604
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,01; acdc_fog; 76,9033; 3,0847; 47,6733; 3,0601; 60,0933; 0,4250
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,01; acdc_full; 70,7167; 2,5563; 33,8200; 2,4350; 45,5200; 0,9440
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,01; acdc_night; 56,0667; 0,9509; 19,0467; 0,7149; 30,8667; 0,5519
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,01; acdc_rain; 79,7533; 3,1796; 39,6900; 1,7630; 54,5067; 0,8700
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,01; acdc_snow; 70,6167; 3,4887; 31,7600; 4,0001; 44,6433; 1,3979
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,01; cityscapes; 95,0033; 0,0907; 67,5067; 0,8497; 78,0767; 0,4966
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,01; dark_zurich; 52,9233; 1,5555; 18,7933; 1,2583; 31,5133; 0,6153
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,02; acdc_fog; 86,4167; 2,3389; 46,4567; 2,7271; 57,2867; 2,8886
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,02; acdc_full; 76,7067; 1,7206; 33,9233; 1,5968; 44,0800; 2,6004
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,02; acdc_night; 56,0200; 1,6294; 19,8133; 1,3668; 31,6500; 1,6229
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,02; acdc_rain; 86,1033; 1,3135; 38,5200; 1,4632; 49,9967; 2,4973
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,02; acdc_snow; 78,9300; 2,3963; 33,0400; 2,0806; 44,9233; 2,4675
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,02; cityscapes; 94,6867; 0,1185; 64,1967; 0,9624; 73,8700; 1,8631
train_deeplabv3plus_sc_depth_5_channel_3_sparsity_0,02; dark_zurich; 53,1367; 1,8363; 19,2800; 1,5821; 32,4567; 2,1105
