run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_snow; 83,8000; 44,3500; 57,6700
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_fog; 92,0400; 63,3700; 76,4000
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_full; 81,7900; 45,6400; 58,7200
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_night; 57,3800; 26,7400; 40,9100
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,005; dark_zurich; 54,3300; 24,4400; 37,1200
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,005; cityscapes; 95,5000; 72,7600; 83,9000
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_rain; 87,3000; 45,7300; 62,9300
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_snow; 82,3200; 51,0900; 63,5500
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_fog; 91,4400; 64,3900; 78,2500
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_full; 79,4300; 46,8300; 60,5500
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_night; 55,2100; 23,3100; 36,9700
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,01; dark_zurich; 52,3400; 21,9500; 35,1400
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,01; cityscapes; 95,4400; 72,8500; 84,2300
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_rain; 88,3700; 46,1700; 61,7800
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_snow; 82,9900; 48,2500; 61,3100
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_fog; 91,6900; 63,7300; 75,0800
train_mask2former_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_full; 79,3700; 44,4400; 56,9100
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_night; 56,5900; 22,1100; 37,9800
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,01; dark_zurich; 53,1200; 21,7100; 36,9100
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,01; cityscapes; 95,4800; 73,4800; 84,6500
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_rain; 88,0900; 45,8000; 63,1100
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_snow; 86,2000; 47,9400; 60,2400
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_fog; 90,7200; 63,5000; 77,2700
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_full; 80,2100; 43,4100; 57,7300
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_night; 55,1300; 22,9600; 37,0100
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0; dark_zurich; 53,4300; 20,7500; 34,4300
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0; cityscapes; 95,4200; 73,9700; 85,5200
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_rain; 87,8100; 43,9100; 60,4500
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_snow; 83,8800; 47,9800; 60,8100
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_fog; 90,8700; 60,7700; 75,3600
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_full; 79,2300; 44,1800; 57,8800
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_night; 57,7600; 22,7100; 37,0500
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0075; dark_zurich; 53,9400; 22,3000; 35,4400
