run; test_dataset; aAcc; mIoU; mAcc
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_fog; 61,3800; 27,5500; 37,6800
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_full; 61,8100; 23,1000; 35,5600
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_night; 42,6700; 8,4100; 15,8700
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,8; dark_zurich; 45,3800; 8,9800; 17,4700
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,8; cityscapes; 61,1900; 23,4300; 37,2100
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_rain; 61,2000; 14,9000; 21,4100
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_snow; 56,8900; 16,8100; 24,7900
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_fog; 53,4700; 12,1700; 18,6300
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_full; 54,0700; 12,9300; 20,8400
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_night; 40,0700; 8,8000; 13,9700
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,6; dark_zurich; 46,0700; 10,7700; 17,0400
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,6; cityscapes; 73,2600; 32,8200; 43,3400
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_rain; 63,5800; 17,8800; 23,2600
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_snow; 58,0400; 18,7900; 25,5300
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_fog; 68,1900; 22,8300; 28,1500
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,6; acdc_full; 61,8900; 20,4100; 31,2300
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_night; 54,8500; 13,9900; 22,5100
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,7; dark_zurich; 53,1400; 14,2000; 23,5900
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,7; cityscapes; 79,2600; 34,0200; 45,2000
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_rain; 66,2200; 19,2600; 26,8800
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_snow; 59,4300; 21,6400; 31,3100
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_fog; 66,3000; 21,7000; 29,2800
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_full; 60,4400; 16,7500; 28,4200
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,0; acdc_night; 39,7300; 10,3400; 19,7600
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,0; dark_zurich; 37,9100; 10,7600; 19,0600
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,0; cityscapes; 94,3000; 62,7200; 71,6100
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,0; acdc_rain; 77,3000; 33,5600; 50,2400
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,0; acdc_snow; 60,3400; 25,7800; 42,1100
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,0; acdc_fog; 86,3300; 46,9700; 59,4700
train_upernet_baseline_seed_7_depth_0_channel_3_sparsity_0,0; acdc_full; 65,7200; 28,2000; 41,1600
