run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,01; acdc_rain; 85,0100; 38,6200; 54,9100
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,01; acdc_snow; 78,1800; 34,4200; 48,9000
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,01; acdc_fog; 86,5700; 49,5200; 61,8700
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,01; acdc_full; 77,5700; 36,1700; 49,2200
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_night; 59,4500; 22,4800; 36,4000
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,0075; dark_zurich; 55,7300; 21,3200; 37,6200
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,0075; cityscapes; 94,7100; 67,4200; 79,2000
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_rain; 83,0200; 38,8300; 54,6900
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_snow; 77,1200; 36,2400; 51,0900
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_fog; 85,5300; 53,7100; 66,6300
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_full; 76,1500; 37,2300; 50,9000
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_night; 58,1400; 21,0200; 33,1400
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,02; dark_zurich; 55,1600; 20,8900; 35,3300
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,02; cityscapes; 93,2300; 63,3300; 74,0400
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_rain; 86,6200; 38,3000; 49,9600
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_snow; 81,4700; 33,7100; 45,3900
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_fog; 89,3800; 52,1100; 62,0000
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_full; 78,7400; 35,3800; 45,8100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_night; 56,4800; 19,9300; 31,4400
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,01; dark_zurich; 52,6700; 19,0200; 32,2300
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,01; cityscapes; 94,4600; 66,2200; 77,7700
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_rain; 83,7900; 35,5400; 46,1400
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_snow; 74,7600; 31,6300; 43,2900
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_fog; 84,3200; 45,4000; 56,9700
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,01; acdc_full; 74,7000; 32,9400; 42,4300
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_night; 56,3900; 19,4400; 30,8000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,0075; dark_zurich; 53,1500; 18,3500; 30,8000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,0075; cityscapes; 94,7900; 64,6200; 74,2100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_rain; 73,8200; 32,6600; 45,6400
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_snow; 66,6600; 28,5400; 41,8000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_fog; 72,9700; 42,6700; 56,2100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_full; 67,3800; 30,4000; 41,4900
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_night; 56,2600; 19,1300; 31,7100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,005; dark_zurich; 52,5200; 18,3700; 31,8200
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,005; cityscapes; 95,0800; 68,3400; 78,1700
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_rain; 77,9000; 36,7900; 49,7000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_snow; 66,7800; 30,7500; 44,0600
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_fog; 78,0400; 48,0800; 60,0100
