run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 86,9333; 1,6369; 47,3500; 2,4531; 63,4467; 2,5381
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 82,8000; 2,3732; 49,0600; 0,6955; 61,0600; 0,1833
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 95,1400; 0,0985; 71,0833; 0,4697; 82,8567; 0,6841
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 51,6333; 1,0258; 22,9633; 1,1279; 36,5367; 0,3182
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 86,8333; 2,1279; 51,8567; 2,7418; 66,8033; 1,6640
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_full; 76,3233; 1,6684; 41,3900; 1,1906; 53,5667; 1,4633
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 51,4200; 1,8479; 21,7600; 2,6808; 35,4500; 2,7837
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 85,6400; 4,0779; 44,7567; 3,6735; 59,8000; 4,4416
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 82,1900; 2,5298; 46,8600; 2,8574; 58,3667; 3,1184
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 94,4000; 0,0458; 67,9500; 1,7385; 79,7833; 1,8517
train_mask2former_co_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 49,2767; 1,3361; 20,8900; 1,8458; 34,8967; 2,0955
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 90,3733; 1,7638; 60,4733; 1,8500; 75,3700; 1,4782
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_full; 80,1933; 2,0410; 44,2200; 2,6738; 58,7600; 3,1847
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 60,7967; 1,7195; 25,9267; 2,5126; 41,6667; 3,4959
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 87,3700; 2,1408; 46,4467; 2,3980; 64,0467; 3,4699
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 82,8533; 2,5736; 44,8033; 2,4150; 58,7467; 3,2700
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 95,7333; 0,0503; 74,7533; 1,0153; 85,4633; 0,4652
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 56,7567; 0,9339; 24,4567; 2,0769; 39,4567; 3,2684
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 89,3733; 1,5019; 65,4167; 2,1705; 78,7233; 1,1312
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_full; 79,9233; 0,9986; 46,1100; 2,0919; 59,6867; 0,8501
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 59,8600; 0,7795; 26,2867; 2,4805; 41,1133; 2,1816
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 87,4267; 2,0014; 45,4000; 2,7611; 62,4233; 3,4287
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 83,6733; 0,8065; 50,0667; 2,0641; 61,9100; 0,9131
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 95,6533; 0,0551; 74,4500; 0,3315; 85,3133; 0,3808
