run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,5; cityscapes; 93,2100; 61,4400; 71,2600
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_rain; 64,3500; 20,6100; 31,1300
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_snow; 48,6300; 19,4200; 30,8400
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_fog; 54,3400; 20,6700; 32,3800
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,5; acdc_full; 60,2300; 21,3900; 37,3000
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_night; 50,5200; 14,9700; 25,6500
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,8; dark_zurich; 29,7400; 6,7100; 15,8800
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,8; cityscapes; 89,6100; 50,3800; 60,7300
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_rain; 59,4200; 18,0200; 25,8500
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_snow; 53,8200; 19,6000; 32,0300
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_fog; 56,9700; 20,7400; 31,5500
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,8; acdc_full; 53,0600; 14,3400; 23,6900
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_night; 43,3600; 10,7900; 19,8900
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,9; dark_zurich; 38,6100; 6,9600; 18,6500
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,9; cityscapes; 84,6800; 38,7700; 47,9900
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_rain; 66,9900; 18,1400; 30,9300
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_snow; 58,0100; 18,1900; 32,6500
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_fog; 66,6900; 21,2600; 34,1400
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,9; acdc_full; 52,8800; 11,4200; 18,2600
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_night; 54,8200; 14,9800; 24,6100
